fevereiro;1977;0,5000%;0,5000%
março;1977;0,5000%;0,5000%
abril;1977;0,5000%;0,5000%
maio;1977;0,5000%;0,5000%
junho;1977;0,5000%;0,5000%
julho;1977;0,5000%;0,5000%
agosto;1977;0,5000%;0,5000%
setembro;1977;0,5000%;0,5000%
outubro;1977;0,5000%;0,5000%
novembro;1977;0,5000%;0,5000%
dezembro;1977;0,5000%;0,5000%
janeiro;1978;0,5000%;0,5000%
fevereiro;1978;0,5000%;0,5000%
março;1978;0,5000%;0,5000%
abril;1978;0,5000%;0,5000%
maio;1978;0,5000%;0,5000%
junho;1978;0,5000%;0,5000%
julho;1978;0,5000%;0,5000%
agosto;1978;0,5000%;0,5000%
setembro;1978;0,5000%;0,5000%
outubro;1978;0,5000%;0,5000%
novembro;1978;0,5000%;0,5000%
dezembro;1978;0,5000%;0,5000%
janeiro;1979;0,5000%;0,5000%
fevereiro;1979;0,5000%;0,5000%
março;1979;0,5000%;0,5000%
abril;1979;0,5000%;0,5000%
maio;1979;0,5000%;0,5000%
junho;1979;0,5000%;0,5000%
julho;1979;0,5000%;0,5000%
agosto;1979;0,5000%;0,5000%
setembro;1979;0,5000%;0,5000%
outubro;1979;0,5000%;0,5000%
novembro;1979;0,5000%;0,5000%
dezembro;1979;0,5000%;0,5000%
janeiro;1980;0,5000%;0,5000%
fevereiro;1980;0,5000%;0,5000%
março;1980;0,5000%;0,5000%
abril;1980;0,5000%;0,5000%
maio;1980;0,5000%;0,5000%
junho;1980;0,5000%;0,5000%
julho;1980;0,5000%;0,5000%
agosto;1980;0,5000%;0,5000%
setembro;1980;0,5000%;0,5000%
outubro;1980;0,5000%;0,5000%
novembro;1980;0,5000%;0,5000%
dezembro;1980;0,5000%;0,5000%
janeiro;1981;0,5000%;0,5000%
fevereiro;1981;0,5000%;0,5000%
março;1981;0,5000%;0,5000%
abril;1981;0,5000%;0,5000%
maio;1981;0,5000%;0,5000%
junho;1981;0,5000%;0,5000%
julho;1981;0,5000%;0,5000%
agosto;1981;0,5000%;0,5000%
setembro;1981;0,5000%;0,5000%
outubro;1981;0,5000%;0,5000%
novembro;1981;0,5000%;0,5000%
